Node1,Node2
89441,376697
529503,307889
49313,597252
554579,884839
596150,525685
522835,809875
569983,354734
368303,873483
59256,536052
841258,896070
101569,101590
388242,397803
60754,567407
86229,79326
542084,527932
43766,595996
539601,882029
1744,36025
586743,378172
344117,360905
90844,92379
835488,884770
56833,322200
576894,823603
591135,860980
75273,372851
537119,583871
54499,522599
586819,882358
9992,51376
17223,551052
59256,552237
70590,573341
28616,597442
39387,79046
578679,308616
570399,570392
94113,306634
55538,519154
527231,805551
539070,539075
66604,857892
504120,397795
337443,808311
38979,10879
71799,368160
46615,135425
60754,504870
842572,820455
71970,343074
16199,335392
570330,352637
67121,506260
533494,543654
11027,106562
89949,304911
17855,69445
38228,86545
79175,878911
34772,75619
88078,76835
74710,22550
389341,867949
7039,387007
46377,20864
30090,502674
547645,560047
71558,386406
153000,153008
92513,92517
843692,843900
28152,507184
15869,339459
556318,885354
838871,839801
500629,355991
520028,346142
514730,351319
31801,61091
835419,153635
22828,571588
65429,532070
373531,847127
304361,304395
316498,818662
81078,43832
77875,800749
58114,317742
814665,814663
328637,852144
384892,399580
346772,866335
518235,350004
13149,18172
553164,514534
38102,318122
345618,153144
881111,828809
65908,526855
589947,595423
559190,559195
540799,861499
7674,553334
23201,595342
55538,10357
72249,594607
58175,345785
556243,582257
306294,306296
2424,10917
80838,346245
821171,821975
545138,547245
54823,353466
44534,67383
79326,535700
546061,314741
546316,303100
306648,341744
32251,380060
52098,22982
7455,307184
56909,97870
583328,583322
521134,307144
84587,12017
540629,546059
29968,836387
356298,364953
50027,598766
316336,837721
70248,27174
349830,852152
539108,153214
836912,104196
374686,376771
500823,322528
84949,525584
855345,858306
346772,821001
59427,503162
95129,315792
341532,863590
75474,576943
71004,45817
525922,379619
803306,840797
379452,379430
519748,830883
50498,574189
15842,333937
87907,20700
62811,835826
91055,302242
39007,551375
52733,893449
393538,393531
6613,822151
20792,354881
363890,157420
3224,504529
580492,597972
573924,367083
73658,331048
55650,326033
550698,599632
527394,359458
382703,848886
351135,336555
533987,316230
39296,398432
336966,313208
399177,805413
34616,500176
7217,65344
533179,382139
554364,810118
96915,887675
73662,887391
533281,537878
582576,547920
52740,37004
95239,832778
305568,821000
875611,875617
379821,396223
39481,385783
520593,520598
89488,70613
46681,530905
504932,572522
500797,581843
37492,845910
583711,583717
7944,7946
362242,326416
36336,860326
23387,518679
68843,541973
531155,515915
384855,384853
343430,344704
327231,885108
802784,827308
510000,100492
35007,34654
501203,894453
52346,42504
505596,588130
39265,14347
72899,337617
88721,13094
551645,864319
541209,568526
391076,885707
61631,27247
502003,502546
31753,309987
302073,871347
307824,304170
18192,548499
12157,79858
539519,517730
506357,832712
844700,844701
52494,571127
586300,543509
69699,23457
570048,599943
51163,382513
74726,501951
500154,585454
47282,561818
83234,74362
533328,584694
97038,573616
72970,583007
99778,833632
833363,841734
588435,325453
87733,549084
586394,398033
42391,886526
343297,346000
389384,826430
383825,386545
595263,301155
59715,500964
45133,64436
396126,891202
519173,565267
302562,849243
800059,853376
67637,367924
500314,384029
15531,531083
586938,540205
30192,826927
509919,885221
343970,392470
47855,871379
502255,326994
504198,847321
56120,87532
37209,323102
99630,99633
368909,368950
48468,351683
503162,503195
550472,855611
66287,392052
15860,20606
807909,807902
20792,344307
31487,584329
89597,504198
514532,569975
589856,548498
81237,548030
553159,365199
587373,380158
51090,388260
89670,301262
801974,815864
586547,356901
868181,890066
55838,79175
13141,359375
24692,316536
814655,871426
107605,107603
371781,327165
819150,840914
561160,830456
37865,81011
86918,552385
38046,829463
59555,875191
55888,534016
501826,366352
50577,56469
332007,386180
380166,380162
34880,32672
890469,892336
582767,518987
515354,578156
77672,66448
37384,32522
353834,336018
544431,388603
18033,77297
40519,558350
38149,358286
38044,518235
564476,382673
50071,394029
832674,880318
79890,302531
598823,857425
389792,389720
68049,323600
18548,95289
14976,72601
76765,367146
301651,301966
16640,520384
6186,526582
349271,824100
98034,362094
501539,353429
392892,322240
852161,852166
31039,576472
29931,306227
75224,367100
349350,399162
368440,881198
582122,389720
535935,301391
28838,823680
537119,389249
334427,836178
555066,391242
66414,880378
82533,82538
522126,522129
830282,819173
26565,26899
327329,327805
94018,543044
4686,101757
805095,866582
108981,150662
94011,390622
301186,301403
56044,555295
538693,537966
62125,514461
551520,537391
504271,350156
6789,501425
48513,529241
508558,895580
528396,810896
18658,324682
49313,394840
99960,850830
597923,158964
567605,301449
596721,599052
543810,525063
20797,329085
21812,514440
525752,345535
532500,532960
15092,505937
96299,553164
52083,29900
882699,829273
4662,514666
514413,309333
519377,109124
58175,17734
377350,376058
40596,521699
352671,859426
354567,347377
39360,96776
557299,820280
109979,109945
396697,810435
335164,363233
836032,870510
503690,525690
11204,28661
530300,335707
67363,574988
87470,90045
78082,49610
95805,504297
327084,877429
575873,300563
843189,867131
833975,833973
36181,397520
583622,370257
345912,341922
38024,87301
83586,863849
573233,317045
523721,839867
541243,547716
853302,844179
354264,365174
539890,830092
598944,598960
52362,509807
589807,589804
40864,897366
91848,577038
83781,553886
543243,812057
815382,815311
516088,855644
99932,577224
802324,858783
573496,396735
53550,314394
54295,849827
342990,830697
93616,364401
580228,332479
345858,345857
79531,575256
66979,868322
32838,822812
15594,17546
593438,332673
74628,67333
533426,546602
577979,376119
519377,845440
553117,553175
66362,500775
555346,552302
43305,577547
514954,579585
389298,835454
65863,553773
91637,587495
570864,386346
525483,862494
530498,897281
869552,826862
9279,545297
57786,594602
343337,328575
834943,849544
49805,20832
548454,562615
65811,314528
55972,99880
13822,60918
84418,586086
554117,552259
79457,591849
569641,159413
841914,841916
99674,583002
66022,886964
32252,854408
515186,834262
505455,538436
65544,25222
360712,109569
541994,541992
593298,327488
81293,883013
76469,599342
3559,540061
6389,530316
394198,852309
75568,75561
569153,332601
47128,599436
554645,525932
551305,517897
80462,394163
56082,42851
45514,805585
384899,399326
837813,837818
512729,319837
869226,894773
387986,880547
317468,322643
29393,540116
533732,154885
7665,54217
544497,863194
43599,887090
89949,585318
835709,847888
567636,893694
390407,390406
28989,341934
99836,373047
25779,25772
10841,818775
2927,500107
45116,565417
77890,892922
321939,158432
69172,353509
505293,558635
73140,77209
82140,803214
84588,25880
345499,805167
837843,872809
383104,888372
552606,575633
339447,326617
550629,366412
838029,811643
550939,830155
545343,352090
500177,885072
63328,896411
321542,321565
551847,582611
67378,150922
25672,542687
89017,82605
516388,818493
50981,305613
551224,818871
549912,894194
336577,322372
8104,523470
515524,130156
37879,14255
587320,849649
591234,591239
48418,541195
552075,327637
371864,133722
535406,104712
524661,101285
17554,345162
587884,356897
547223,832529
320830,857869
64331,548859
888048,884058
8010,43853
542676,890298
38672,582472
866030,101909
560123,888430
31206,80634
857085,885244
528035,826176
31230,61844
599495,376496
565082,590738
365646,368734
563940,333004
839120,135511
4412,549990
884585,884583
48624,395938
332045,363618
570721,571068
834889,897725
40864,66209
58387,51616
364014,833361
66831,831801
567075,841169
85231,327557
50711,77392
589237,519432
555174,556317
3112,51810
310622,886138
535695,836932
23884,381073
307285,374562
33437,325194
99292,830288
48199,835707
43432,43480
301290,852160
101570,101573
89949,830913
815009,817331
357056,859757
523506,313716
385007,379258
18121,20710
73252,545312
809675,809673
580726,897323
307350,307355
304908,304907
26416,599862
42161,552475
530011,370752
20839,508555
20542,304782
67989,599627
362887,324841
505591,545467
573233,881790
551577,551574
352183,399922
550796,320904
86461,519427
884083,884081
14416,848015
52023,72958
802562,857359
522463,807632
577673,524466
550605,813465
34128,19586
92064,310876
517046,516338
302001,833633
8357,53503
382057,382054
501102,501150
332489,381960
340548,865325
373134,837096
349129,320545
16922,584493
540137,829731
550233,884025
4420,2890
348311,348317
340908,341431
307529,370549
325122,328714
98292,838677
398153,397731
98908,583012
75697,552048
363054,363841
9760,582776
558017,877920
59263,66204
84501,848419
525556,131023
336405,386796
82710,348974
62090,523418
810374,812945
535963,330079
553734,326751
97172,370404
319725,850911
71624,79232
22699,330391
836368,888711
55908,82230
348140,341481
80538,99052
377838,100040
55645,10086
26754,328161
85585,543612
522330,358181
599039,599083
48945,860110
383795,850935
87358,592617
52368,10981
559356,862367
12631,503777
845792,845720
568088,368012
564095,529328
28982,334815
87773,525892
40374,26933
514509,590888
82611,65706
6136,14153
394191,830219
582272,597831
101144,101146
32120,83282
510444,320086
344768,399388
304862,304890
591310,334736
38979,10457
504114,541685
65296,568574
302221,860024
501211,808278
22238,544508
77664,307123
330280,376168
809367,845477
99292,527266
508457,527911
64672,379112
44011,67573
45994,555179
45027,560596
580819,521923
317067,808650
2446,388995
890288,890281
542486,567738
69521,517522
53593,135072
14561,513558
306218,340331
54613,393390
301186,301408
60021,98581
392052,325591
555448,573696
21322,314408
845541,845547
392938,392931
858049,870711
300847,350126
815368,815367
93854,586663
541977,351051
500917,505751
98182,512466
59289,571283
4202,46462
525673,312212
514689,849138
598282,352019
556739,804250
7276,839879
899388,105326
10346,545940
555341,334948
821206,821255
54295,302067
51677,15663
370776,373424
60052,95143
47809,879762
21213,817870
47761,47764
512026,573683
31074,89977
377514,808847
390177,892694
18192,369093
853944,814741
80908,14405
48692,521022
583028,517224
338882,332718
356610,346982
18262,398264
81599,598772
532527,824760
558569,319793
24921,507578
15232,63601
16234,505056
519377,821835
67204,350812
512100,356947
514610,104786
42959,519543
83822,84605
97229,899193
77208,551688
572797,304741
502544,320927
582257,526455
530109,530150
512409,546880
18435,67439
586820,578160
30325,47885
36249,21513
351060,853827
505935,563676
315556,846071
833250,814017
57203,36336
394190,840814
11835,12691
85585,532709
67250,598925
512987,885937
580879,155812
582242,518654
78266,580489
58386,40633
553470,516897
353478,353471
539911,539914
45549,838384
27463,816537
94381,26141
74253,135445
599892,813673
65639,591374
65607,841505
592434,592432
14908,65128
538705,573030
547843,842888
11433,78973
99031,586465
363813,363818
861816,820020
75172,22086
381426,381429
585082,390140
819929,891350
27066,516424
34077,508420
543755,340167
554247,353630
25022,500759
31230,890261
23884,804947
25579,131894
23201,554264
591312,591370
4878,4877
833365,831717
554645,583462
88078,76595
589232,524778
570115,575476
68867,542776
77086,539193
12047,343106
45845,521114
560705,568752
511330,568452
59681,532695
563241,839953
76298,568594
19969,574630
155814,153633
39007,18460
22699,564898
581521,566628
372388,348502
568075,336116
301995,336556
565953,384318
544329,563934
388418,840916
46021,325512
80962,309613
307190,376022
570170,888112
833378,833377
566171,376111
19888,517977
551165,302522
350868,355999
518961,871268
535111,864275
21008,307182
39007,11473
505745,352732
51119,30205
878297,108665
30090,82127
563664,867322
80462,394624
9746,75933
67388,543866
48468,68469
94893,595793
576386,564444
87311,812956
322900,863169
533015,548732
358013,380890
868851,899026
86788,21699
1910,65431
383755,835260
384488,800495
56044,517018
896267,896264
49324,588876
58136,78527
543755,154789
583855,586153
585341,370467
382909,382902
843319,890726
586153,348635
520809,153693
48362,93755
23229,800083
44861,307925
830892,158132
573509,542749
13580,353614
530386,569589
535496,581584
84606,574563
395679,800369
320337,321411
46354,311082
77011,301486
352965,313884
92131,92137
353646,130884
551773,551778
89056,360950
99370,22423
584209,318323
581808,581804
51593,300519
343449,343468
79729,64163
563769,359009
559423,314199
552249,858678
37837,70676
558587,309928
27041,366080
44815,532773
72669,867081
85998,76313
506956,336949
16954,805174
546668,546664
38437,74220
59256,816430
45421,374534
579866,137740
6613,872740
302949,334961
19268,543200
311043,368060
1670,73845
351986,310172
532521,560127
39497,311501
555699,324993
524981,358247
523728,328762
43432,43443
63588,838876
506267,338625
39950,87031
304481,384899
16927,25276
554646,539220
42160,847968
62028,159091
66239,536183
44872,316213
89288,576741
831342,837330
846454,895462
576890,339580
595255,396960
90217,577677
881839,810088
510676,519960
3256,25492
72736,880876
35987,49684
323246,323242
592436,350637
334527,383140
96120,389592
301111,101725
81307,548905
859784,832500
368600,368608
554645,301213
553246,521451
898501,898507
319992,868612
350806,350655
349262,349295
847543,847541
13419,304904
7713,33693
535241,392109
73068,868016
38510,887280
522542,355443
380862,377304
557736,583011
510399,510320
314127,837307
4676,64339
584209,875536
517948,316994
40187,532505
536250,539017
521593,300666
843169,108453
99745,550143
55674,501951
35094,385384
37492,94144
331575,876901
97539,301585
512502,333460
81579,801464
502197,827922
336966,839800
29713,844768
596037,835742
515266,880059
330388,817650
19030,384368
554594,537128
65119,549883
75972,594796
20542,829886
336711,803132
515229,387245
533826,881791
597517,138465
58811,46998
60401,311803
43529,804423
866682,866615
63632,22642
505923,839767
375139,376811
895271,823770
5473,54970
830975,109749
586886,513352
557166,557169
573497,858772
532527,359309
310377,310374
302689,810354
7623,26135
94853,583275
91224,327312
379022,840022
587236,398385
570953,547899
42331,318137
385736,845908
55692,45162
583209,583202
6472,579621
58464,52036
521249,335586
36255,16027
547877,394831
91072,877980
58043,819853
57814,374493
31948,888034
58064,389628
381122,842827
11581,64309
6626,92155
882422,812566
518843,845255
58254,89480
528184,528189
500354,500356
570857,570854
591236,387596
530300,579540
64679,503822
32931,533528
565293,599578
50107,86351
99778,368929
550515,808229
97149,377814
76765,837047
18855,884929
33847,810447
548623,806769
84557,154629
31088,104207
60405,840637
31061,324513
95239,831914
77535,540831
93038,594235
384899,835481
51801,884270
43822,506900
26396,380580
58488,66273
32865,328056
85930,15906
335609,316251
22918,359674
35085,69929
344501,137724
586565,513375
549397,591775
532191,562894
587249,103642
85027,83618
91171,852708
533142,582783
376116,397263
307967,376740
530104,563455
86631,583644
34784,311479
70710,515941
65296,156504
41495,97012
13312,337234
10826,349621
537772,333087
51801,21746
81792,44255
60289,571620
33437,74224
36709,514189
1666,19108
74856,509882
836368,836364
356610,320024
507658,337585
399919,392366
96334,323030
362373,362377
22358,529806
518577,841821
43527,156936
38228,81931
29393,323443
509606,331237
82401,26021
15222,506934
4007,30499
70233,897909
532662,591215
42917,846667
62764,357518
315394,319432
63060,897985
52095,387049
326062,851687
570572,809495
528658,388173
73661,29920
570550,383995
584662,843627
340908,852397
543474,598772
591555,355258
54163,80148
568725,569453
879495,825141
856991,852036
31758,83228
83958,338586
847883,847887
519976,574468
57929,33124
597568,373426
378631,849766
507106,529776
83288,550789
59739,12926
384596,384599
502513,389474
90712,889847
304561,872484
18460,45422
518160,806809
574037,814920
20326,376927
14012,72204
58478,563756
539690,382507
391500,130843
560818,332269
16745,45410
99292,386225
99121,99127
586320,318834
46275,561977
59316,314413
581521,520145
79909,598395
589856,329270
536957,598717
108401,108458
552967,823098
332799,388030
515106,338653
89236,108381
19217,504753
17497,310337
592957,814310
333032,368893
42164,840461
374878,369916
55230,53861
94632,99157
85526,150189
301843,886342
59314,594513
545948,307513
540082,893085
519377,837360
50172,535465
535080,381897
50975,379437
528513,528518
7657,52938
590011,307527
363012,157676
894349,822967
71383,830283
18582,586617
586849,525031
587863,315980
34028,550675
108987,108986
370103,837784
591404,866599
72249,549160
40767,892374
554342,372608
873695,873693
367687,882217
819234,879679
20972,396872
835128,890105
337341,878956
15586,383698
81906,507121
91072,581760
4541,18421
388722,381583
76420,875086
77713,320065
60725,563976
67944,541158
574629,366641
68816,300785
323445,323443
11079,68294
71383,574414
357807,858863
93674,379169
545072,377114
521800,521805
51194,834451
512473,843068
106850,106855
596781,387786
79455,20434
45027,372487
532815,338949
518220,359665
576275,326882
60405,387248
80003,43395
88235,84518
532415,584373
328780,328785
12488,529237
99993,553430
67852,95589
504575,504227
515503,515246
42437,109530
395748,831679
29220,528211
881013,881011
373274,804736
589856,520098
45178,341458
92155,557732
359000,359575
324759,837309
70081,76482
51549,93564
328203,808198
79729,534781
834240,834245
64341,503925
1511,18914
590738,843852
59256,567195
350758,323542
70191,78353
93616,812112
500197,836565
507695,322735
555676,843104
547732,392809
12720,304068
63930,579256
7591,346471
79767,580038
48886,533355
316947,802315
71511,898036
523289,365446
54023,16273
39007,67388
813762,813790
58980,578008
578331,152575
73465,21588
383377,381515
76366,508556
593701,307559
562280,351027
549936,549932
52740,316901
47630,372346
547311,353566
846846,893176
108408,108404
1672,92534
541073,325019
52077,594588
155812,153633
36789,547056
594355,524798
571208,807315
834699,870308
94853,599540
388034,329567
527342,307511
73010,545941
55135,563999
585029,597206
504885,813553
328726,328729
339679,805504
70278,510347
533888,315825
99959,347331
512004,866315
835880,835883
92018,306680
90079,150225
63766,324277
552794,534674
573887,349119
520825,895941
41605,574635
49956,529936
507786,333474
4282,31165
372770,372773
330517,383304
58970,591670
343456,343430
323804,329958
512004,570048
823062,827086
553180,307625
1983,591021
836580,811365
593193,899981
597810,308726
55948,573788
65188,570976
75743,302851
598827,302429
58053,380040
852808,895809
589956,563639
393322,393800
338483,392206
346526,102749
66383,549497
60014,509522
505819,585420
585962,593739
380101,316350
34469,502802
86918,541404
45029,96501
830288,830289
27531,509174
592572,319823
309838,309831
39265,584962
73668,396680
74856,95208
35406,64342
505327,517535
501811,330573
575777,561747
66237,355405
93507,396288
326749,102380
587495,521374
312245,834818
329499,329420
537809,397653
23025,23023
66263,501421
592596,336405
806939,131986
6919,18460
570089,878698
535086,398110
93561,97050
15970,815851
599900,888606
44279,517955
45422,517482
309565,837818
852544,879033
7140,353465
399139,848761
512850,102644
45505,852455
99771,818891
389382,344445
305053,348565
521138,813337
86940,14940
533868,529121
831450,880295
10400,62450
555799,559315
83340,308004
532930,394263
541614,833353
306464,885021
81254,505407
67092,22595
46446,865985
2785,67528
72270,831309
589121,388051
6136,855236
514363,387908
525045,382273
28253,586983
80440,516239
92715,852134
559039,363407
358279,382773
532527,340073
501764,842087
55230,45036
73693,561426
68632,66831
26459,597014
56812,52348
43384,96076
548551,541424
589014,589019
553016,541839
30380,318691
87195,852664
45731,589161
83173,156196
108986,150666
367013,130346
531891,801779
579776,380945
505628,350747
53824,558813
543542,389075
549990,815098
501907,594981
369400,398731
570691,575748
365436,837079
57203,77694
551329,381855
5483,50280
861507,861509
325021,322957
587497,525012
13647,100593
50475,73410
328092,877720
15209,558014
307803,340514
580705,580703
45489,25169
98167,849740
37002,517065
75167,98265
29713,841790
84606,526243
363915,819119
88792,96272
586901,844871
13644,513331
28192,500096
501168,509496
507478,840591
70079,350099
19217,71314
503171,533818
345902,151737
346243,891124
91705,348694
565635,321925
540055,526616
38387,363129
87792,318307
85416,76675
60587,63783
805355,803666
578679,855626
553704,380412
831393,812543
75072,599032
504407,397747
590591,524553
516083,302642
80457,563562
396991,889505
570998,396438
76765,824013
33445,333774
351064,817779
336966,109716
52077,518186
508732,578425
71259,306826
533328,364548
38428,597036
99157,376818
76481,823260
559621,578503
524055,529928
520496,310592
576427,542553
59263,384587
86782,43956
385979,888534
39296,897060
16983,316116
505165,826829
532276,831684
18960,76575
582826,582123
504986,874470
500154,586969
33996,552483
62303,805095
571275,549035
801870,829308
30686,73229
57933,354574
350918,327586
4164,55331
62246,315845
13113,595562
27693,897807
2287,512470
14248,26639
588737,570816
1788,16922
544971,591570
7217,40385
41560,558135
555346,891275
559772,576292
85244,513638
575800,364304
378232,394592
544188,544187
555823,319135
90996,544584
31061,868160
1580,59159
54099,512343
28341,506181
883686,870540
63752,582751
385129,385122
549936,808907
62560,566304
89639,89922
16663,551180
358247,359781
22918,597239
46598,328843
537149,548743
77924,74287
15686,561009
353662,888907
376125,347133
540212,321394
508508,895535
541725,364606
83716,365955
87960,84715
20549,500138
45393,513456
566790,316870
583102,337013
85839,79992
875237,841838
81327,588659
316195,377335
94363,855206
305618,357552
77924,543421
849883,842069
590337,862569
833035,864225
89949,514046
533314,538277
334706,874730
566345,841212
78922,524864
75587,564003
525269,384134
580400,385780
381859,807073
376508,376509
68843,337395
518637,356692
37858,843182
588501,839911
301131,830535
83371,565417
544306,549248
46021,551411
89655,594511
34377,314570
365228,812689
316289,844929
517717,593866
88086,93040
887070,886762
889017,862078
80757,584190
535984,330021
64183,815731
577985,520532
522801,889537
599454,330818
2888,529712
594160,843018
89709,559129
330414,332028
310346,310349
557915,104121
76592,371545
43537,350219
396960,845273
61784,546519
96103,598568
20542,864914
92335,556651
68745,542141
544729,592449
3955,19452
562346,337995
8130,34265
379962,379998
376052,345643
10047,108483
399101,800686
511073,567566
549341,562219
553284,554276
511928,321118
500314,367702
22886,838122
574446,137333
589997,899640
547311,834363
894513,894518
508317,583369
71275,92906
48426,500960
63060,361941
14376,539094
65269,508509
530011,310365
318035,364053
339157,339154
17526,806133
837161,824272
94358,368508
305307,883308
503998,591052
46131,42689
74621,348696
598695,387819
11485,382385
51028,590244
12439,20975
88504,321765
858127,888064
366365,391100
38048,153897
586908,521244
49520,823423
565102,385275
26530,108991
93731,543509
331628,312964
90294,349425
565363,831171
336283,802865
560392,591591
580589,541053
79341,79347
512724,561010
65173,307221
892768,820546
69397,338863
31222,155394
40095,69036
578914,543056
583493,899773
93176,303966
528789,527341
18624,73285
14299,843629
831491,831497
97151,876165
32472,591691
9916,72593
812777,825127
835056,868738
62475,354908
512640,575085
35778,33960
348951,103382
394628,840879
354224,836289
552606,573509
81477,509882
560886,828452
368078,897549
72177,307486
579567,337063
15217,585349
563452,567901
73734,311373
593988,521871
36388,571730
313306,313358
565976,877605
57192,559541
14067,859757
509499,360389
596830,101265
54340,138141
25672,585416
1175,560281
96392,370979
307193,307191
880377,880376
12938,559696
63060,836472
83738,83737
505205,359924
56480,87358
372341,372347
84482,79032
89360,306389
63060,856792
351319,344360
521791,381859
537669,873392
894673,894678
40192,348925
389572,370632
591751,362887
6789,502252
510478,529044
55102,506566
19582,92004
14628,14621
32469,579197
396912,835060
559165,828551
56373,542509
56453,556215
311518,316228
332040,312840
13676,13672
539710,319865
66971,555530
596858,361542
547877,523508
598807,376601
95042,887714
345544,349621
81133,101005
85839,29239
519946,306213
40537,390763
47271,576944
516320,361735
46824,46133
50311,78623
586663,845474
345901,345909
559542,394537
837727,844729
87743,503749
6270,553866
563559,326185
517803,386912
562457,807953
557410,557905
571627,574676
846242,151365
46461,863150
45624,521197
589325,356576
550938,518711
511423,378013
80156,71166
514633,379215
9406,90761
583852,348441
65764,325724
32859,62448
34938,594924
79282,849998
806753,806758
884421,875409
63588,839808
88534,89959
382283,837895
388749,895592
31502,31272
51755,538249
94708,555778
108983,150690
39263,89339
16150,79624
20456,531562
81863,518823
830311,830317
33143,801033
582220,318436
31801,839809
306860,306861
79284,397654
322256,322259
891484,894396
578323,540749
323932,104503
51028,29559
836813,815283
575102,344258
587240,518020
48245,584182
598827,818662
598823,304028
63549,522071
14034,42635
808688,802314
8911,339873
542641,844872
35880,69724
377647,390646
61979,28982
46466,571545
588665,318822
575672,315249
578893,578898
64336,23510
519088,566412
535783,511781
591589,304038
56480,41106
385244,370359
102883,130261
501279,385631
25397,302488
38306,91633
89949,368720
848182,848110
574871,379277
36504,82226
389299,376245
134,52229
58043,32138
513314,513316
553161,514534
86887,544420
75584,561071
501487,318162
79407,22117
58198,89410
360572,829070
55530,306244
555174,588938
580364,318992
58475,54901
384775,341237
332898,332891
71179,40389
7665,76978
378631,105653
370446,368039
363915,363913
805992,156940
326057,326193
532770,154751
6623,23867
50939,42604
96914,588655
53647,89290
357744,889570
93665,525670
848251,842330
78922,318549
10098,10097
802469,887127
13810,49796
568537,891794
341743,327634
43884,378404
554579,531177
29155,568931
361309,898967
528063,330286
587048,575633
571871,351680
30493,75346
599943,861714
814770,819249
31811,379140
44223,399960
39006,396706
48418,553424
577563,572025
82758,379780
49994,333677
507373,103640
31801,565720
73074,583803
14299,502057
575052,804583
355046,355049
324546,874347
301428,352544
599183,369712
513927,846879
27139,599339
97088,824944
49608,330428
526048,526041
76020,524225
94464,372099
532527,389427
67847,380468
80045,65782
580390,586492
34910,509863
586390,563760
