inst#,actual,predicted,error,prediction,,
71,1:?,02:01,,0.97,,1
72,1:?,03:02,,1,,2
73,1:?,06:05,,1,,5
74,1:?,06:05,,1,,5
75,1:?,01:00,,0.75,,0
76,1:?,03:02,,0.99,,2
77,1:?,03:02,,0.62,,2
78,1:?,03:02,,0.96,,2
79,1:?,06:05,,0.99,,5
80,1:?,04:03,,0.74,,3
81,1:?,03:02,,1,,2
82,1:?,01:00,,0.84,,0
83,1:?,06:05,,0.99,,5
84,1:?,06:05,,1,,5
85,1:?,06:05,,1,,5
86,1:?,05:04,,0.96,,4
87,1:?,03:02,,0.99,,2
88,1:?,07:06,,0.72,,6
89,1:?,06:05,,1,,5
90,1:?,02:01,,0.64,,1
91,1:?,01:00,,0.72,,0
92,1:?,04:03,,0.66,,3
93,1:?,05:04,,0.93,,4
94,1:?,03:02,,0.98,,2
95,1:?,06:05,,0.97,,5
96,1:?,06:05,,1,,5
97,1:?,04:03,,0.62,,3
98,1:?,06:05,,1,,5
99,1:?,06:05,,0.98,,5
100,1:?,03:02,,0.59,,2
101,1:?,02:01,,0.78,,1
102,1:?,01:00,,0.77,,0
103,1:?,07:06,,0.49,,6
104,1:?,06:05,,1,,5
105,1:?,07:06,,0.79,,6
106,1:?,03:02,,0.95,,2
107,1:?,02:01,,0.52,,1
108,1:?,02:01,,0.62,,1
109,1:?,05:04,,1,,4
110,1:?,03:02,,0.99,,2
111,1:?,01:00,,0.82,,0
112,1:?,05:04,,1,,4
113,1:?,03:02,,0.91,,2
114,1:?,07:06,,0.66,,6
115,1:?,05:04,,0.94,,4
116,1:?,02:01,,0.47,,1
117,1:?,03:02,,0.56,,2
118,1:?,06:05,,0.89,,5
119,1:?,03:02,,1,,2
120,1:?,01:00,,0.76,,0
121,1:?,07:06,,0.84,,6
122,1:?,05:04,,0.54,,4
123,1:?,07:06,,0.53,,6
124,1:?,01:00,,0.79,,0
125,1:?,05:04,,0.97,,4
126,1:?,03:02,,1,,2
127,1:?,03:02,,0.98,,2
128,1:?,03:02,,1,,2
129,1:?,04:03,,0.74,,3
130,1:?,05:04,,0.98,,4
131,1:?,07:06,,0.58,,6
132,1:?,05:04,,0.88,,4
133,1:?,07:06,,0.64,,6
134,1:?,04:03,,0.8,,3
135,1:?,01:00,,0.68,,0
136,1:?,03:02,,0.48,,2
137,1:?,06:05,,0.99,,5
138,1:?,06:05,,1,,5
139,1:?,06:05,,1,,5
140,1:?,05:04,,0.91,,4
141,1:?,05:04,,0.69,,4
142,1:?,06:05,,1,,5
143,1:?,03:02,,0.95,,2
144,1:?,06:05,,0.99,,5
145,1:?,05:04,,0.99,,4
146,1:?,03:02,,0.99,,2
147,1:?,06:05,,1,,5
148,1:?,03:02,,1,,2
149,1:?,06:05,,1,,5
150,1:?,02:01,,0.93,,1
151,1:?,07:06,,0.7,,6
152,1:?,03:02,,0.76,,2
153,1:?,03:02,,1,,2
154,1:?,05:04,,1,,4
155,1:?,07:06,,0.63,,6
156,1:?,01:00,,0.56,,0
157,1:?,06:05,,1,,5
158,1:?,07:06,,0.54,,6
159,1:?,02:01,,0.97,,1
160,1:?,02:01,,0.81,,1
161,1:?,03:02,,1,,2
162,1:?,03:02,,1,,2
163,1:?,06:05,,1,,5
164,1:?,05:04,,1,,4
165,1:?,03:02,,1,,2
166,1:?,02:01,,0.69,,1
167,1:?,05:04,,1,,4
168,1:?,06:05,,0.84,,5
169,1:?,05:04,,1,,4
170,1:?,06:05,,0.99,,5
171,1:?,03:02,,0.74,,2
172,1:?,07:06,,0.6,,6
173,1:?,03:02,,1,,2
174,1:?,05:04,,0.95,,4
175,1:?,03:02,,0.98,,2
176,1:?,01:00,,0.81,,0
177,1:?,02:01,,0.71,,1
178,1:?,05:04,,1,,4
179,1:?,02:01,,0.74,,1
180,1:?,06:05,,1,,5
